OrderID,OrderDate,CustomerID,CustomerName,City,State,ProductID,ProductName,Category,Quantity,UnitPrice,Discount%,DiscountAmount,NetRevenue,COGS,Profit,PaymentMethod,Channel
ORD-202402-2000,09-02-2024,C004,Sunita Verma,Jaipur,Rajasthan,P025,Board Game,Toys,2,2200,15,660.0,3740.0,2322.82,1417.18,EMI,Reseller
ORD-202402-2001,07-02-2024,C014,Pooja Tiwari,Bhopal,Maharashtra,P006,Office Chair,Furniture,3,12000,0,0.0,36000.0,18307.95,17692.05,Credit Card,Mobile App
ORD-202402-2002,18-02-2024,C015,Suresh Pillai,Thiruvananthapuram,Maharashtra,P021,Novel - Fiction,Books,4,450,20,360.0,1440.0,940.25,499.75,Net Banking,Store
ORD-202402-2003,05-02-2024,C006,Deepika Singh,Hyderabad,Telangana,P004,Headphones,Electronics,1,3500,0,0.0,3500.0,2099.27,1400.73,Cash on Delivery,Online
ORD-202402-2004,22-02-2024,C005,Rajesh Gupta,Chennai,Tamil Nadu,P022,Business Book,Books,4,650,20,520.0,2080.0,1124.64,955.36,EMI,Mobile App
ORD-202402-2005,18-02-2024,C003,Amit Kumar,Bangalore,Karnataka,P008,Bookshelf,Furniture,3,6000,10,1800.0,16200.0,9963.24,6236.76,Net Banking,Store
ORD-202402-2006,16-02-2024,C006,Deepika Singh,Hyderabad,Telangana,P012,Jeans,Clothing,2,2500,5,250.0,4750.0,3231.02,1518.98,Debit Card,Mobile App
ORD-202402-2007,10-02-2024,C006,Deepika Singh,Hyderabad,Telangana,P004,Headphones,Electronics,2,3500,0,0.0,7000.0,4787.14,2212.86,Debit Card,Online
ORD-202402-2008,18-02-2024,C014,Pooja Tiwari,Bhopal,Maharashtra,P001,Laptop,Electronics,2,45000,10,9000.0,81000.0,49709.31,31290.69,UPI,Online
ORD-202402-2009,19-02-2024,C009,Sanjay Joshi,Pune,Maharashtra,P020,Electric Kettle,Appliances,4,1800,0,0.0,7200.0,4264.91,2935.09,UPI,Online
ORD-202402-2010,22-02-2024,C003,Amit Kumar,Bangalore,Karnataka,P006,Office Chair,Furniture,4,12000,15,7200.0,40800.0,23493.69,17306.31,Credit Card,Online
ORD-202402-2011,12-02-2024,C009,Sanjay Joshi,Pune,Maharashtra,P013,Sneakers,Clothing,1,4500,15,675.0,3825.0,2286.6,1538.4,Debit Card,Reseller
ORD-202402-2012,10-02-2024,C012,Neha Jain,Indore,Madhya Pradesh,P006,Office Chair,Furniture,2,12000,15,3600.0,20400.0,12974.92,7425.08,EMI,Online
ORD-202402-2013,04-02-2024,C004,Sunita Verma,Jaipur,Rajasthan,P023,Self Help Book,Books,3,550,5,82.5,1567.5,897.5,670.0,Credit Card,Store
ORD-202402-2014,07-02-2024,C005,Rajesh Gupta,Chennai,Tamil Nadu,P015,Jacket,Clothing,1,3800,20,760.0,3040.0,1688.58,1351.42,Debit Card,Mobile App
