OrderID,OrderDate,CustomerID,CustomerName,City,State,ProductID,ProductName,Category,Quantity,UnitPrice,Discount%,DiscountAmount,NetRevenue,COGS,Profit,PaymentMethod,Channel
ORD-202403-3000,02-03-2024,C009,Sanjay Joshi,Pune,Maharashtra,P013,Sneakers,Clothing,3,4500,15,2025.0,11475.0,7234.26,4240.74,UPI,Store
ORD-202403-3001,05-03-2024,C002,Priya Mehta,Delhi,Delhi,P014,Formal Shoes,Clothing,2,6000,0,0.0,12000.0,7464.03,4535.97,Debit Card,Reseller
ORD-202403-3002,18-03-2024,C003,Amit Kumar,Bangalore,Karnataka,P022,Business Book,Books,1,650,10,65.0,585.0,333.14,251.86,EMI,Mobile App
ORD-202403-3003,12-03-2024,C004,Sunita Verma,Jaipur,Rajasthan,P020,Electric Kettle,Appliances,2,1800,10,360.0,3240.0,1752.77,1487.23,Cash on Delivery,Reseller
ORD-202403-3004,01-03-2024,C010,Kavya Reddy,Hyderabad,Telangana,P012,Jeans,Clothing,3,2500,20,1500.0,6000.0,3978.16,2021.84,Net Banking,Store
ORD-202403-3005,20-03-2024,C015,Suresh Pillai,Thiruvananthapuram,Maharashtra,P012,Jeans,Clothing,4,2500,10,1000.0,9000.0,6295.87,2704.13,UPI,Online
ORD-202403-3006,15-03-2024,C010,Kavya Reddy,Hyderabad,Telangana,P017,Microwave,Appliances,3,8500,5,1275.0,24225.0,16857.77,7367.23,Credit Card,Online
ORD-202403-3007,16-03-2024,C001,Rahul Sharma,Mumbai,Maharashtra,P024,Kids Activity Kit,Toys,3,1200,15,540.0,3060.0,1946.17,1113.83,Debit Card,Mobile App
ORD-202403-3008,26-03-2024,C011,Mohit Agarwal,Lucknow,Uttar Pradesh,P012,Jeans,Clothing,1,2500,0,0.0,2500.0,1462.64,1037.36,UPI,Mobile App
ORD-202403-3009,24-03-2024,C013,Arjun Kapoor,Mumbai,Maharashtra,P007,Study Table,Furniture,1,8500,10,850.0,7650.0,4480.88,3169.12,UPI,Online
ORD-202403-3010,23-03-2024,C005,Rajesh Gupta,Chennai,Tamil Nadu,P003,Tablet,Electronics,2,25000,0,0.0,50000.0,29073.78,20926.22,EMI,Mobile App
ORD-202403-3011,18-03-2024,C003,Amit Kumar,Bangalore,Karnataka,P015,Jacket,Clothing,2,3800,0,0.0,7600.0,4209.56,3390.44,Credit Card,Reseller
ORD-202403-3012,08-03-2024,C014,Pooja Tiwari,Bhopal,Maharashtra,P023,Self Help Book,Books,1,550,10,55.0,495.0,317.18,177.82,EMI,Reseller
ORD-202403-3013,11-03-2024,C006,Deepika Singh,Hyderabad,Telangana,P015,Jacket,Clothing,1,3800,15,570.0,3230.0,1955.47,1274.53,Cash on Delivery,Mobile App
ORD-202403-3014,12-03-2024,C008,Ananya Nair,Kochi,Kerala,P024,Kids Activity Kit,Toys,2,1200,0,0.0,2400.0,1444.47,955.53,UPI,Mobile App
ORD-202403-3015,16-03-2024,C013,Arjun Kapoor,Mumbai,Maharashtra,P019,Vacuum Cleaner,Appliances,4,6500,20,5200.0,20800.0,10581.03,10218.97,Cash on Delivery,Mobile App
ORD-202403-3016,09-03-2024,C002,Priya Mehta,Delhi,Delhi,P015,Jacket,Clothing,1,3800,0,0.0,3800.0,1929.42,1870.58,Debit Card,Store
ORD-202403-3017,21-03-2024,C013,Arjun Kapoor,Mumbai,Maharashtra,P005,Smartwatch,Electronics,2,8000,0,0.0,16000.0,8452.99,7547.01,EMI,Mobile App
ORD-202403-3018,17-03-2024,C003,Amit Kumar,Bangalore,Karnataka,P020,Electric Kettle,Appliances,3,1800,10,540.0,4860.0,2834.38,2025.62,UPI,Online
ORD-202403-3019,09-03-2024,C005,Rajesh Gupta,Chennai,Tamil Nadu,P018,Air Purifier,Appliances,2,12000,10,2400.0,21600.0,14838.49,6761.51,Net Banking,Reseller
ORD-202403-3020,14-03-2024,C014,Pooja Tiwari,Bhopal,Maharashtra,P006,Office Chair,Furniture,1,12000,0,0.0,12000.0,7684.47,4315.53,Credit Card,Online
